Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
rf1,4017,64,Localized CQR,RELU,Bin 1,2,1,90%,0.8983402489626556,0.032685403474370094,0.20980442080369482,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 2,3,2,90%,0.9004149377593361,0.0299790736401468,0.17213347202709867,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 3,1,3,90%,0.904149377593361,0.02253306885043231,0.3173670969416554,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Bin 4,4,4,90%,0.9099173553719007,0.028854694628258005,0.2866282160409287,,,,,,,,,242.0
rf1,4017,64,Localized CQR,RELU,Bin 5,0,5,90%,0.9307053941908714,0.03461933922591893,0.27034967948732846,,,,,,,,,241.0
rf2,7679,576,Global CQR,RELU,Overall,,,90%,0.9019965277777778,0.008690965979710991,0.11445248797535897,0.0052821614953953095,6.7380890483482645,0.09238249734044075,0.076451725512743,0.8565901160049043,0.013411509473808472,0.9437852494577006,0.08719513345279638,
rf2,7679,576,Global CQR,RELU,Bin 1,4,1,90%,0.8822125813449023,0.024580940615183764,0.16662683784961702,,,,,,,,,461.0
rf2,7679,576,Global CQR,RELU,Bin 2,3,2,90%,0.8906724511930586,0.024793461279357137,0.09552272260189057,,,,,,,,,461.0
rf2,7679,576,Global CQR,RELU,Bin 3,1,3,90%,0.9036876355748372,0.03398378486345535,0.10382934585213661,,,,,,,,,461.0
rf2,7679,576,Global CQR,RELU,Bin 4,2,4,90%,0.9145652173913044,0.0309742560340358,0.09232732206583023,,,,,,,,,460.0
rf2,7679,576,Global CQR,RELU,Bin 5,0,5,90%,0.9188720173535792,0.03223576223559205,0.11390821263194084,,,,,,,,,461.0
