Dataset,n,d,Method,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
rf2,7679,576,Localized CQR,Bin 4,2,4,90%,0.8902173913043478,0.03141661631554767,0.2781299615670856,,,,,,,,,460.0
rf2,7679,576,Localized CQR,Bin 5,1,5,90%,0.9054229934924077,0.027304327943704215,0.23513389563896547,,,,,,,,,461.0
scm1d,9803,280,Global CQR,Overall,,,90%,0.8960897653859232,0.006101826918306744,0.8416232407093048,0.029751984209751763,193.95774837125836,0.6946998953819274,0.9145882725715637,0.8353140916808149,0.032105797361148554,0.9522108843537417,0.11689679267292656,
scm1d,9803,280,Global CQR,Bin 1,4,1,90%,0.8353140916808149,0.032105797361148554,1.195208692550659,,,,,,,,,589.0
scm1d,9803,280,Global CQR,Bin 2,3,2,90%,0.8746598639455782,0.015307067242193611,0.8131615936756134,,,,,,,,,588.0
scm1d,9803,280,Global CQR,Bin 3,2,3,90%,0.895238095238095,0.012339018467494578,0.7654444336891174,,,,,,,,,588.0
scm1d,9803,280,Global CQR,Bin 4,1,4,90%,0.9273809523809524,0.017723830202983418,0.7134826242923736,,,,,,,,,588.0
scm1d,9803,280,Global CQR,Bin 5,0,5,90%,0.9479591836734695,0.016227021009355865,0.7202175259590149,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,Overall,,,90%,0.8905474328459707,0.0052948284319747465,0.8215808508728678,0.029475265052040168,189.34141942812167,0.6533263523131609,0.9393758015669217,0.8630455747664092,0.017365115298286073,0.9219387755102041,0.05889320074379495,
scm1d,9803,280,Localized CQR,Bin 1,4,1,90%,0.8713073005093379,0.018408334354403796,1.2830656057170313,,,,,,,,,589.0
scm1d,9803,280,Localized CQR,Bin 2,2,2,90%,0.8814625850340135,0.014250239400349833,0.7294026485789997,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,Bin 3,3,3,90%,0.8821428571428573,0.015936562947983166,0.8296591318389843,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,Bin 4,1,4,90%,0.9028911564625849,0.017844180588593522,0.644487370516282,,,,,,,,,588.0
scm1d,9803,280,Localized CQR,Bin 5,0,5,90%,0.9149659863945578,0.018174217697132723,0.6205046596945989,,,,,,,,,588.0
scm20d,8966,61,Global CQR,Overall,,,90%,0.9010037174721189,0.005438319935798685,1.1230652332305908,0.04220702814313945,249.11422535412234,1.0028753101825714,0.5221076041460038,0.8585501858736059,0.0215717511069515,0.9366171003717472,0.07806691449814124,
scm20d,8966,61,Global CQR,Bin 1,4,1,90%,0.862639405204461,0.029593623211611658,1.1933101058006286,,,,,,,,,538.0
scm20d,8966,61,Global CQR,Bin 2,3,2,90%,0.8931226765799256,0.015755460838498752,1.1463546752929688,,,,,,,,,538.0
scm20d,8966,61,Global CQR,Bin 3,2,3,90%,0.9072490706319701,0.016675877187625934,1.0610505580902099,,,,,,,,,538.0
scm20d,8966,61,Global CQR,Bin 4,1,4,90%,0.9118959107806692,0.013814798643912286,1.099053418636322,,,,,,,,,538.0
