regime,method,seed,coverage,avg_width,median_width,width_std,width_ratio_to_oracle,width_ratio_marginal,worst_bin_cov,best_bin_cov,coverage_gap_mean,coverage_gap_max,coverage_range,oracle_width,bandwidth_h,Q_global,Q_local_mean,Q_local_std
D2,Local,9,0.9136,7.519024467356076,8.3844492669915,2.9640459730340454,1.0402178085461244,1.033447433551955,0.901,0.932,0.013600000000000011,0.03200000000000003,0.031000000000000028,7.275671914451631,0.07368062997280775,,0.07035884619557398,0.23375866213816485
D3,Global,0,0.8918,6.215836048126221,2.7739810943603516,5.748574733734131,1.0103262963937827,1.0033187639061047,0.859,0.924,0.02340000000000002,0.041000000000000036,0.06500000000000006,6.195275391767644,0.07368062997280775,-0.018516353760309686,,
D3,Local,0,0.8908,6.09802036383824,2.6356318775277536,5.617265362391043,0.9995339249888054,0.9843017425732782,0.862,0.911,0.013600000000000011,0.038000000000000034,0.049000000000000044,6.195275391767644,0.07368062997280775,,-0.0774242907103077,0.16334885284621822
D3,Global,1,0.9024,6.188845157623291,2.874796152114868,5.65081262588501,1.0433490046372829,1.0013494936024008,0.87,0.936,0.02400000000000002,0.03600000000000003,0.06600000000000006,6.180504606197618,0.07368062997280775,-0.0005285625975464107,,
D3,Local,1,0.903,6.233715297719448,2.7614342985167184,5.751865599658747,1.0310688705849427,1.0086094412855016,0.883,0.917,0.009800000000000008,0.017000000000000015,0.03400000000000003,6.180504606197618,0.07368062997280775,,0.02190643010753384,0.31537986211410585
D3,Global,2,0.91,6.210032939910889,2.5822529792785645,5.747658729553223,1.0389257204985176,1.0024299712756226,0.887,0.921,0.015200000000000014,0.02100000000000002,0.03400000000000003,6.194979318114793,0.07368062997280775,0.03025021302554535,,
D3,Local,2,0.9096,6.259576454181318,2.725857175361872,5.754504510615677,1.0321705400493275,1.010427336839953,0.901,0.92,0.009600000000000008,0.020000000000000018,0.019000000000000017,6.194979318114793,0.07368062997280775,,0.0550220588822388,0.21894984467394268
D3,Global,3,0.902,6.150137424468994,2.7364230155944824,5.480111598968506,1.035330028923807,0.9669590885445193,0.87,0.926,0.014000000000000012,0.030000000000000027,0.05600000000000005,6.360287107623415,0.07368062997280775,0.02222705231125558,,
D3,Local,3,0.9,6.560551233792968,2.556285463731632,6.0550465649546,1.0311381119440364,1.031486648759852,0.875,0.925,0.016800000000000016,0.025000000000000022,0.050000000000000044,6.360287107623415,0.07368062997280775,,0.22743408191721565,0.351295717822082
D3,Global,4,0.8944,5.995001792907715,2.5925207138061523,5.5862555503845215,1.0237899980399086,0.9772105792212643,0.871,0.918,0.020000000000000018,0.029000000000000026,0.04700000000000004,6.134810572440907,0.07368062997280775,0.03273252880842928,,
D3,Local,4,0.8942,6.029607906689586,2.5962595103915365,5.64482686122865,1.0135631833481376,0.9828515217366421,0.879,0.909,0.01100000000000001,0.02100000000000002,0.030000000000000027,6.134810572440907,0.07368062997280775,,0.05003561217901206,0.30843502997416256
D3,Global,5,0.8824,6.476807594299316,2.6895265579223633,5.823265552520752,1.0985639550874935,1.01826733676727,0.836,0.919,0.02520000000000002,0.06400000000000006,0.08300000000000007,6.360616078348806,0.07368062997280775,-0.11326265486656006,,
D3,Local,5,0.8812,6.218502601498642,2.5615323661199136,5.576123953655786,1.0865258528053938,0.9776572779901131,0.858,0.908,0.024800000000000023,0.04200000000000004,0.050000000000000044,6.360616078348806,0.07368062997280775,,-0.2424151637254761,0.3334050925109932
D3,Global,6,0.894,6.240478038787842,2.6291847229003906,5.823831558227539,1.0446499375584433,1.0071839979177533,0.854,0.916,0.02040000000000002,0.04600000000000004,0.062000000000000055,6.195966230290963,0.07368062997280775,0.006866377020900526,,
D3,Local,6,0.8934,6.143358187811077,2.5865820927326615,5.693454561412737,1.028153237238661,0.9915093077456274,0.854,0.929,0.023800000000000023,0.04600000000000004,0.07500000000000007,6.195966230290963,0.07368062997280775,,-0.04169364337548647,0.3302849347648558
D3,Global,7,0.8952,5.753142356872559,2.8297200202941895,5.214665412902832,0.9961645863363938,0.9348388599160886,0.859,0.94,0.021599999999999998,0.041000000000000036,0.08099999999999996,6.154154051093856,0.07368062997280775,0.009391088223017624,,
D3,Local,7,0.893,6.224562964659152,2.6380194244294337,5.895413782509439,0.9793421399825022,1.0114408760295464,0.856,0.915,0.018600000000000016,0.04400000000000004,0.05900000000000005,6.154154051093856,0.07368062997280775,,0.24510126069112007,0.49431706181674934
D3,Global,8,0.8916,5.988398551940918,2.7289326190948486,5.481327056884766,1.0275258196141115,0.9714873788840216,0.868,0.924,0.018000000000000016,0.03200000000000003,0.05600000000000005,6.164154761145721,0.07368062997280775,-0.018538749260009136,,
D3,Local,8,0.8892,6.182676972397201,2.7636613504575553,5.742773122871863,1.018586097676531,1.0030048257983772,0.872,0.916,0.017200000000000014,0.028000000000000025,0.04400000000000004,6.164154761145721,0.07368062997280775,,0.07860050433677054,0.24592458848909907
